pmid	geneId	diseaseId	g_name	d_name	is_befree	is_dtminer	is_ft1	hit_ft1	hit_abs	1st_label	2nd_label	is_ner_error	is_complex	have_s	target_sentences	in abs	in_intro	in_method	in_result	in_diss	in_conclusion	Have -	S no strong	comment	is_target_knowledge
10579720	109676	D018908	Ankyrin-B | ankyrin-B | ANK2	dysfunction of striated muscle	0	0	1.0	6			1.0	Gk			Complete ankyrin-B deficiency in humans would be anticipated to involve defective development of the nervous system, as well as severe dysfunction of striated muscle and immune system that would not be compatible with prolonged postnatal life. 					1.0				B&D mess up gene Id, but renet found	
10579720	109676	D053447	Ankyrin-B | ankyrin-B | ANK2	channelopathies	0	0	1.0	7			0.0		n												
10579720	109676	D066087	Ankyrin-B | ankyrin-B | ANK2	neonatal death	0	0	1.0	7			1.0		mn		Ankyrin-B (-/-) mice are born in Mendelian ratios, but suffer 70-80% mortality on postnatal day 1, and 100% by postnatal day 21. Causes of neonatal death are likely to include compromised function of striated muscle and the immune system (see below), in addition to previously described defects in the nervous system (Scotland et al. 1998).				1.0						
14710238	2315	D008545	Melan-A | MART-1	melanoma | melanoma TAA	1	1	1.0	4			1.0		n		Encapsulation into sterically stabilised liposomes enhances the immunogenicity of melanoma-associated Melan-A/MART-1 epitopes	1.0				1.0					
15199386	672	D001943	BRCA1 | BRCA 1	breast cancer | breast cancer death	1	1	1.0	10	5.0	1.0	1.0				About 5-10% of all breast cancer cases occur in women with a strong family history, and in the Netherlands approximately 25% of these cases may be attributed to the BRCA1 and BRCA2 breast cancer susceptibility gene mutations	1.0									0.0
15199386	675	D001943	BRCA2	breast cancer | breast cancer death	1	1	1.0	9	5.0	1.0	1.0				About 5-10% of all breast cancer cases occur in women with a strong family history, and in the Netherlands approximately 25% of these cases may be attributed to the BRCA1 and BRCA2 breast cancer susceptibility gene mutations	1.0									0.0
15354209	7422	C538614	vascular endothelial growth factor | VEGF	renal cell carcinoma | RCC | Renal cell carcinoma | renal cell cancer	1	1	1.0	8	4.0	1.0	1.0				In addition, several other antiangiogenic compounds such as razoxane, bryostatin-1, TNP-470, or anti-VEGF antibodies have shown some activity with even objective tumour responses in RCC					1.0					0.0
15354209	7422	D000163	vascular endothelial growth factor | VEGF	AIDS	0	0	1.0	4			0.0					1.0								Seeing abs as a sessions?	
15354209	7422	D012514	vascular endothelial growth factor | VEGF	Kaposi's sarcoma	0	0	1.0	3			0.0					1.0									
15354209	7422	D015179	vascular endothelial growth factor | VEGF	colon cancer | tumour burden in colon carcinoma	1	1		0	1.0	1.0	1.0	Di			Effectively, some preliminary studies have linked VEGF levels with tumour burden in colon carcinoma (Nakayama et al, 2002; De Vita et al, 2004).					1.0					0.0
15354209	7422	D029461	vascular endothelial growth factor | VEGF	SD	1	1	1.0	7	2.0	1.0	1.0		n		In a previous study, we were able to find a significant difference in the levels of serum VCAM-1 between patients with PD compared to those with SD (Braybrooke et al, 2000).					1.0				stable disease	0.0
15354209	7422	D064420	vascular endothelial growth factor | VEGF	toxicities | toxicity	0	1	1.0	9	3.0	0.0	0.0	Di												ill D	
16333304	2113	D001943	Ets1 | Ets-1 | p54	breast cancer	1	1	1.0	10	10.0	1.0	1.0				Ets1 has been shown to be an independent prognostic factor for breast cancer (Span et al, 2002).		1.0							only intro, no abs,etc	1.0
16781449	4843	C563177	NOS II	GSH deficiency	0	1	1.0	8	1.0	1.0	1.0				GSH deficiency may decrease overall NO production, through decreasing NOS II expression or by the parallel loss of S-nitrosoglutathione (GSNO), an important storage form and source of NO.		1.0							only have intro + conclusion	0.0
16781449	4843	D000257	NOS II	Adenovirus infection	1	1	1.0	9	1.0	1.0	1.0				For example, experimental influenza virus or rhinovirus 16 infection increase exhaled NO in volunteers. Furthermore, HRSV infection, Hong Kong influenza A (H3N2) virus, or Adenovirus infection in mice in vivo or in primary human airway epithelial cells in vitro increases levels of NOS II mRNA		1.0							only have intro + conclusion	0.0
16781449	4843	D000402	NOS II	airway injury	1	1	1.0	10	1.0	1.0	1.0				On the other hand, an excessively high level of NO production is also implicated in the pathophysiology of lung diseases, such as asthma (Fig. 2, Table 1).		1.0							only have intro + conclusion	0.0
16781449	4843	D001102	NOS II	viral infection | virus disease | virus infection | virus-infected | viral infections | Virus-infected | Virus infection | virus infections	1	1	1.0	10	6.0	1.0	1.0				NOS II gene expression increases rapidly with viral infection in response to the viral replicative intermediate dsRNA activation of PKR signaling events.		4.0				3.0			only have intro + conclusion	1.0
16781449	4843	D001249	NOS II	asthma	0	0	1.0	9	3.0	1.0	1.0	Dk	mC		Although NOS II expression is relatively abundant, at approximately 5-10 mRNA copies per airway epithelial cell, inflammation related to increased endogenous or exogenous reactive oxygen species (ROS), as in asthma or hyperoxia, leads to marked upregulation of the gene expression in human airways. 		1.0							only have intro + conclusion	0.0
16781449	4843	D003550	NOS II	cystic fibrosis | Cystic fibrosis | CF lung	0	0	1.0	10	3.0	1.0	1.0	Dk			 Since loss of NO synthesis is a primary pathophysiologic event in the susceptibility of CF patients to virus and other microbial pathogens, overexpression of NOS II or NO donors is rational strategy to protect from viral infection. 		1.0				1.0			only have intro + conclusion	1.0
16781449	4843	D003643	NOS II	mortality | death	0	1	1.0	8			1.0				mice genetically deficient in NOS II have significantly higher mortality		1.0								
16781449	4843	D007239	NOS II	infection | rhinovirus infections | HRSV infection | infected | Chronic endobronchial infection | infections	1	1	1.0	4			1.0	Di			Furthermore, HRSV infection, Hong Kong influenza A (H3N2) virus, or Adenovirus infection in mice in vivo or in primary human airway epithelial cells in vitro increases levels of NOS II mRNA		1.0								
16781449	4843	D007249	NOS II	infection and inflammation | inflammation	1	1	1.0	10	2.0	1.0	1.0	Di			Basal expression of NOS II is very likely important in the innate mucosal host defense of the airway, with further induction related to host response to pathogen(s) or inflammation. 		1.0							only have intro + conclusion	0.0
16781449	4843	D008171	NOS II	pulmonary diseases | lung diseases | pulmonary disease	0	0	1.0	10	3.0	1.0	1.0		mC		Loss of NO synthesis in lung diseases such as CF predisposes one to increased virus/microbe infection due to defects in signal transduction through STAT-1. 		1.0							broad D	0.0
16781449	4843	D008569	NOS II	detrimental	0	0	1.0	8	1.0	0.0	0.0	Dk													
16781449	4843	D011014	NOS II	pneumonia | lung inflammation and injury	0	1	1.0	9	1.0	1.0	1.0				For example, in murine models of virus-induced pneumonia, NOS II activity and mRNA expression are greatly increased within lung tissue		1.0							only have intro + conclusion	0.0
16781449	4843	D012140	NOS II	respiratory disease	0	0	1.0	8			0.0													broad D	
16781449	4843	D012141	NOS II	respiratory tract infections | respiratory infections | upper respiratory tract infections | respiratory tract infection | pulmonary infections	0	0	1.0	6			0.0	Di													
16781449	4843	D012818	NOS II	respiratory symptoms	0	0	1.0	7			0.0													symptoms	
16781449	4843	D018496	NOS II	asthma or hyperoxia	1	1	1.0	9			1.0	Dk	mC		Although NOS II expression is relatively abundant, at approximately 5-10 mRNA copies per airway epithelial cell, inflammation related to increased endogenous or exogenous reactive oxygen species (ROS), as in asthma or hyperoxia, leads to marked upregulation of the gene expression in human airways. 		1.0							broad D	
16781449	4843	D030342	NOS II	hereditary disease	0	0	1.0	7			0.0														
16781449	4843	D055370	NOS II	pulmonary injury	0	0	1.0	8			0.0		n												
16963499	54487	C563466	DGCR8 | Pasha	CL-1000 UV-crosslinker	0	0	1.0	10			0.0	Dk													
16963499	54487	D004062	DGCR8 | Pasha	DiGeorge syndrome | velocardiofacial syndrome | conotruncal anomaly face syndrome	1	1	1.0	10			1.0		m		The human DGCR8 gene is located on chromosome 22q11 and is expressed ubiquitously from fetus to adult. Monoallelic deletion of this genomic region is associated with several clinical defects, most notably including DiGeorge syndrome/conotruncal anomaly face syndrome/velocardiofacial syndrome.		1.0								
16963499	54487	D008607	DGCR8 | Pasha	gel retardation	1	1	1.0	10			0.0	Dk													
17362624	23082	C564874	PRC	BPS public | BPS	1	1	1.0	8	2.0	0.0	0.0	Gk												Prevention Research Centers	
17579508	30818	D012559	dream	treating schizophrenia | Schizophrenia | schizophrenia	0	0	1.0	4	3.0	0.0	0.0	Gk													
17630217	124454	D000275	mGluRs	depression | eEPSC depression	1	1		0	0.0	1.0	0.0	Dki												Depression not D	0.0
17630217	2893	D000275	mGluR4	depression | eEPSC depression	0	0		0	0.0	0.0	0.0	Dki													
17630217	2899	D000275	mGluR7	depression | eEPSC depression	0	0		0	0.0	0.0	0.0	Dki													
17630217	5566	D000275	PKA	depression | eEPSC depression	1	1		0	0.0	0.5	0.0	Dki			Because forskolin caused a clear increase in the mean amplitude of eEPSCs it is unlikely that PKA mediates the depression of eEPSC amplitude following mGluR activation.				1.0					Depression not D	
18398271	2908	D003480	glucocorticoid receptor	hypocortisolemic clinical Cushing's syndrome | Cushing's syndrome | hypercortisolism | Cushing's | hypocortisolemic Cushing's syndrome | Cushing's disease	1	1	1.0	10	10.0	1.0	1.0				Iida and colleagues first described increased sensitivity to the glucocorticoid receptor in 1990 in a patient that had clinical characteristics of Cushing's syndrome and low cortisol concentrations on several occasions.					1.0					1.0
18398271	2908	D004342	glucocorticoid receptor	hypersensitivity	0	1	1.0	6			1.0				Mutations of the glucocorticoid receptor result in syndromes of local and generalized glucocorticoid resistance, glucocorticoid hypersensitivity, hypercortisolism, and increased cortisol response to stress.					1.0					
18398271	2908	D007238	glucocorticoid receptor	Silent pituitary infarction | silent pituitary infarction	0	0	1.0	4			0.0														
18398271	2908	D007757	glucocorticoid receptor	laboratory abnormalities	0	0	1.0	4			0.0	Dk													
18398271	2908	D008659	glucocorticoid receptor	metabolic syndrome	0	0	1.0	4			0.0														
18398271	2908	D016535	glucocorticoid receptor	hyperreactive syndrome	0	0	1.0	3			0.0														
18752632	23405	D000077192	Dicer	peripheral adenocarcinoma of the lung	1	1	1.0	3			1.0				Precursor lesions of peripheral adenocarcinoma of the lung (i.e. atypical adenomatous hyperplasia and bronchoalveolar carcinoma) showed increased Dicer protein by immunohistochemistry. 		1.0							G is P and G	
18752632	23405	D000230	Dicer	adenocarcinoma	0	1	1.0	4			1.0				The opposite was true for invasive and advanced adenocarcinoma, where Dicer protein was reduced.		1.0								
18752632	23405	D002289	Dicer	NSCLC	1	1	1.0	4			1.0				In a study of non-small-cell-lung cancer (NSCLC), it was determined that the expression levels of Dicer but not Drosha were reduced in a fraction of lung tumour tissues and that those patients with reduced Dicer expression had a poorer prognosis.		1.0								
18752632	23405	D008175	Dicer	lung tumour	1	1	1.0	4			1.0				In a study of non-small-cell-lung cancer (NSCLC), it was determined that the expression levels of Dicer but not Drosha were reduced in a fraction of lung tumour tissues and that those patients with reduced Dicer expression had a poorer prognosis. 		1.0								
18752632	23405	D011471	Dicer	prostate cancer | prostate adenocarcinomas	1	1	1.0	10			1.0				In a tissue micro-array consisting of 232 prostate specimens, Dicer protein was found to be up-regulated in prostatic intraepithelial neoplasia and in 81% of the prostate adenocarcinomas. 		1.0								
18752632	23405	D011472	Dicer	prostate carcinoma	1	1	1.0	3			1.0				It was proposed that increased Dicer expression in prostate carcinoma was partially responsible to explain the global increased miRNA expression in prostate cancer that was identified by this group. 		1.0								
18752632	23405	D012640	Dicer	fits	1	0	1.0	3			0.0	Di													
18752632	23405	D015179	Dicer	colorectal carcinoma	1	0	1.0	4	1.0	0.5	0.5			N	In their study of reduced mature miR-143 and -145 expression in colorectal carcinoma, Michael et al. did not examine the Dicer expression levels in the neoplastic and normal tissues, so a conclusion to describe their data on the basis of Dicer processing cannot be made at this time.		1.0					1.0			0.0
18752632	23405	D018277	Dicer	mucoepidermoid carcinoma	1	1	1.0	4			1.0				This same group of researchers studied the Dicer protein expression in specimens of mucoepidermoid carcinoma (MEC) and correlated the Dicer expression with survival.		1.0								
18752632	23405	D019048	Dicer	prostatic intraepithelial neoplasia	1	1	1.0	3			1.0				 Dicer protein was found to be up-regulated in prostatic intraepithelial neoplasia and in 81% of the prostate adenocarcinomas. 		1.0								
18836991	2034	D006623	HIF2alpha	von Hippel-Lindau disease | Von Hippel-Lindau (VHL) disease | VHL tumour | VHL | VHL disease | neoplastic VHL-deficient | VHL tumourigenesis | VHL nervous system tumour | VHL deficiency	1	1		0	0.0	1.0	1.0				We conclude from these findings that the earliest stages of VHL tumourigenesis involve mesenchymal structure with exclusive activation of HIF2alpha, while tumour growth and progression are associated with epithelioid structure and additional activation of HIF1alpha.				1.0						1.0
18836991	2034	D018325	HIF2alpha	haemangioblastomas | haemangioblastoma growth | haemangioblastoma	0	0		0	3.0	0.0	0.0				We conclude from these findings that the earliest stages of VHL tumourigenesis involve mesenchymal structure with exclusive activation of HIF2alpha, while tumour growth and progression are associated with epithelioid structure and additional activation of HIF1alpha.				1.0						
18836991	3091	D001929	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	haematopoiesis foci within the epithelioid component	0	0	1.0	3			0.0														
18836991	3091	D006130	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	tumour growth	1	1	1.0	3			1.0														
18836991	3091	D006623	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	von Hippel-Lindau disease | Von Hippel-Lindau (VHL) disease | VHL tumour | VHL | VHL disease | neoplastic VHL-deficient | VHL tumourigenesis | VHL nervous system tumour | VHL deficiency	1	1		0	0.0	1.0	1.0		m		We conclude from these findings that the earliest stages of VHL tumourigenesis involve mesenchymal structure with exclusive activation of HIF2alpha, while tumour growth and progression are associated with epithelioid structure and additional activation of HIF1alpha.				1.0					multiple stn	1.0
18836991	3091	D008637	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	mesenchymal tumours and the mesenchymal component of large tumours | mesenchymal tumours	0	1	1.0	3			1.0			PN	We further show exclusive activation of HIF2alpha in both small mesenchymal tumours and the mesenchymal component of large tumours, whereas activation of HIF1alpha is associated with epithelioid structure. 	1.0			1.0						
18836991	3091	D009423	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	nervous system tumours	0	0	1.0	3			0.0													Broad D	
18836991	3091	D012509	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	epithelioid component of large tumours	0	0	1.0	3			0.0														
18836991	3091	D018325	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	haemangioblastomas | haemangioblastoma growth | haemangioblastoma	0	0	1.0	3	5.0	1.0	1.0	Dr			In this study, we confirmed this result in symptomatic tumours, consistently showing that HIF1alpha activation does not occur at the early haemangiomesenchymal tumour stage, but rather at the later, further differentiated tumour stage.										1.0
18836991	3091	D055752	HIF1alpha | hypoxia-inducible factor (HIF) 1alpha | HIF1	small tumours | small haemangiomesenchymal tumours	0	0	1.0	3			0.0														
18836991	57534	D018325	MIB1	haemangioblastomas | haemangioblastoma growth | haemangioblastoma	0	0		0	3.0	0.0	0.0														
18836991	7422	D018325	VEGF	haemangioblastomas | haemangioblastoma growth | haemangioblastoma	1	1		0	1.0	0.5	1.0				significantly affects gene expression patterns and cell signalling pathways, as demonstrated by the up-regulation of VEGF throughout early and late stages of haemangioblastoma progression.					1.0					
19059699	4352	C535982	Mpl | HLB219 | hlb219 | MPL	CAMT | autosomal recessive disease congenital amegakaryocytic thrombocytopenia	1	1	1.0	8			1.0				In humans, the autosomal recessive disease congenital amegakaryocytic thrombocytopenia (CAMT) is caused by mutations in MPL.		1.0								
19059699	4352	C536227	Mpl | HLB219 | hlb219 | MPL	hematopoiesis	1	1	1.0	7			1.0				The Mpl knockout mouse has been instrumental in demonstrating the importance of this receptor not only in megakaryopoiesis but in many aspects of hematopoiesis.		1.0								
19059699	4352	D000740	Mpl | HLB219 | hlb219 | MPL	mild anemia	1	1	1.0	7			1.0				In addition to the decrease in circulating platelets, HLB219 mice also have significantly fewer red blood cells and lower hemoglobin and hemocrit levels indicative of mild anemia.				1.0						
19059699	4352	D001791	Mpl | HLB219 | hlb219 | MPL	platelet excess or deficiency | platelet aggregation	0	0	1.0	6			0.0														
19059699	4352	D001855	Mpl | HLB219 | hlb219 | MPL	bone marrow defect	1	1	1.0	7			1.0				HLB219 bone marrow was also transplanted into irradiated mice to examine the ability to transfer the bone marrow defect.			1.0							
19059699	4352	D005198	Mpl | HLB219 | hlb219 | MPL	FBS	0	1	1.0	7			0.0	Dk													
19059699	4352	D006470	Mpl | HLB219 | hlb219 | MPL	bleeding | vein bleeding | excessive bleeding	0	0	1.0	7			1.0		m		Complete blood counts (CBCs) confirmed HLB219 as thrombocytopenic with a platelet level reduced by approximately 80% in comparison to B6 (Table 1). Although there were no obvious signs of excessive bleeding, there was a significant increase in tail vein bleeding time (data not shown).				1.0						
19059699	4352	D007938	Mpl | HLB219 | hlb219 | MPL	leukemia	1	0	1.0	7			1.0		L		but in the leukemia cell line UT-7, the same mutation was defective in signaling through the MAPK and PI3K pathways and was unable to promote differentiation into megakaryocytes. 					1.0					
19059699	4352	D011696	Mpl | HLB219 | hlb219 | MPL	thrombocytopenic	1	1	1.0	10	2.0	0.0	1.0				Complete blood counts (CBCs) confirmed HLB219 as thrombocytopenic with a platelet level reduced by approximately 80% in comparison to B6				1.0						
19059699	4352	D013163	Mpl | HLB219 | hlb219 | MPL	splenomegaly	0	0	1.0	7			1.0		CSm		Necropsy of two of three mice showed minor splenomegaly.				1.0					good cases	
19059699	4352	D013921	Mpl | HLB219 | hlb219 | MPL	thrombocytopenia | Thrombocytopenia	1	1	1.0	5			1.0				An ENU-induced Recessive Mutation in Mpl Leads to Thrombocytopenia with Overdominance	2.0	1.0			2.0					
19059699	4352	D013922	Mpl | HLB219 | hlb219 | MPL	thrombocytosis	1	1	1.0	10	3.0	1.0	1.0				A polymorphism in humans designated MPL Baltimore results in a substitution at amino acid 39 (K39N) and is associated with thrombocytosis.					1.0					1.0
19059699	4352	D013927	Mpl | HLB219 | hlb219 | MPL	thrombosis	0	0	1.0	7			0.0														
19059699	4352	D019337	Mpl | HLB219 | hlb219 | MPL	hematopoietic defect	1	1	1.0	7			1.0				suggesting that HLB219 progenitor cells have a general hematopoietic defect				1.0						
19168076	7474	D008545	WNT5A protein | WNT5A	melanoma	1	1		0	1.0	1.0	1.0				This suggests that a reasonable control strategy would be to reduce the WNT5A gene's action in affecting biological regulation, since the available data suggests that disruption of this influence could reduce the chance of a melanoma metastasizing		2.0								0.0
19181290	2572	D006333	GAD-2 | GAD]-2	heart failure | non-heart failure veterans | Heart Failure	0	0	1.0	10			0.0	Gki													
19181290	260431	D006333	COPD	heart failure | non-heart failure veterans | Heart Failure	0	0	1.0	9			0.0	Gki												G is D	
19191756	1588	D016301	aromatase | CYP19A1 | Aromatase	bone loss | hypogonal bone loss	1	1		0	2.0	0.0	0.0														
19191756	2099	D016301	estrogen-receptor | ER-alpha | Estrogen receptor | estrogen receptor	bone loss | hypogonal bone loss	0	0		0	2.0	0.0	0.0		Cm		In addition, the central role of estrogen in mediating hypogonal bone loss is well characterized for women and has been established as an independent determinant for men as well. Male patients with congenital aromatase deficiency and estrogen-receptor mutations have low bone density without suppression of circulating levels of androgens.		1.0								
19191756	2100	D016301	ER-beta	bone loss | hypogonal bone loss	0	0		0	1.0	0.0	0.0														
19191756	2796	D016301	gonadotropin-releasing hormone | GnRH	bone loss | hypogonal bone loss	1	1		0	4.0	1.0	1.0	Dk			Bone loss has been reported for patients with breast cancer treated with oophorectomy, chemotherapy or gonadotropin-releasing hormone agonists as well.		1.0							intro, methods and short conlusion	1.0
19191756	3164	D016301	hormone-receptor	bone loss | hypogonal bone loss	0	0		0	1.0	0.0	0.0														
19191756	5741	D016301	PTH	bone loss | hypogonal bone loss	0	0		0	1.0	0.0	0.0														
19191756	8600	D016301	Receptor activator of nuclear factor Kappa B-ligand | RANK-L	bone loss | hypogonal bone loss	1	1		0	1.0	1.0	1.0				Newer therapies for treatment of bone loss include the RANK-L inhibitor, denosumab that results in sustained inhibition of bone turnover.			1.0							0.0
19367282	4255	D008545	O6-methylguanine-DNA methyltransferase | MGMT	melanoma | Melanoma | melanomas	1	1	1.0	8	5.0	0.5	1.0		n		Our results, and those of others using O6-benzylguanine (Gajewski et al, 2005), hold out little hope for MGMT inactivation in the effective treatment of melanoma.		2.0			2.0		1.0		intro +, dis -	1.0
19367282	4255	D064420	O6-methylguanine-DNA methyltransferase | MGMT	toxicity | cytotoxicity	1	1		0	2.0	0.0	0.0	Di												ill D	
19813621	596	D009369	Bcl-2	cancer | cancers	1	1	1.0	7			1.0				Overexpression of Bcl-2 has been found in various cancer cells	1.0	1.0			1.0					
19818716	3551	C563003	IKKbeta | IkappaB kinase beta | Ikkbeta	IKKbeta ubiquitination | Ikkbeta ubiquitination | catalyze IKKbeta ubiquitination	1	1	1.0	7			1.0				we show that a Cullin 3 (CUL3)-based ubiquitin ligase, Kelch-like ECH-associated protein 1 (KEAP1), is responsible for IKKbeta ubiquitination.	1.0			1.0						
19818716	3551	C564433	IKKbeta | IkappaB kinase beta | Ikkbeta	K48-linked polyubiquitination	1	0	1.0	4			1.0	Dk	Cn		KEAP1 did not utilize the ubiquitin K48R mutant to induce IKKbeta ubiquitination (Figure 3A), which suggests that the polyubiquitin chains attached to IKKbeta is K48-linked polyubiquitination.				1.0						
19818716	3551	D001943	IKKbeta | IkappaB kinase beta | Ikkbeta	breast cancer | breast cancers | breast tumor	1	1	1.0	10			1.0				implying that genomic losses of CUL3 and RBX1 might lead to up-regulated NF-kappaB signaling through dysregulation of the IKKbeta ubiquitin proteolysis mechanism in breast cancers.				1.0						
19818716	3551	D004938	IKKbeta | IkappaB kinase beta | Ikkbeta	esophageal cancer	0	0	1.0	5			0.0														
19818716	3551	D006528	IKKbeta | IkappaB kinase beta | Ikkbeta	liver cancer | liver cancers	1	1	1.0	8			0.0													all P. ann N	
19818716	3551	D007249	IKKbeta | IkappaB kinase beta | Ikkbeta	inflammation | inflammation-associated cancers	1	1	1.0	4			1.0				These findings strongly suggested that IKKbeta-mediated signaling cascades link inflammation to cancer pathogenesis.		1.0								
19818716	3551	D008175	IKKbeta | IkappaB kinase beta | Ikkbeta	lung cancer	0	0	1.0	3			0.0														
19818716	3551	D009422	IKKbeta | IkappaB kinase beta | Ikkbeta	impairment of IKKbeta degradation	0	0	1.0	4			0.0	Di													
19818716	8452	D001943	Cullin 3 | CUL3	breast cancer | breast cancers | breast tumor	1	1	1.0	7			1.0				down-regulation of KEAP1 and/or CUL3 expression is associated with poor clinical outcome in patients with breast cancer.				1.0						
19818716	8452	D004938	Cullin 3 | CUL3	esophageal cancer	0	0	0.0	0			1.0				 CUL3 (0.71 for rs2216460 and 0.80 for rs1368884 in 28 esophageal cancer cell lines; Figure S11B) loci occurred. 				1.0						
19818716	9817	C563003	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	IKKbeta ubiquitination | Ikkbeta ubiquitination | catalyze IKKbeta ubiquitination	1	1	1.0	10	1.0	1.0	1.0				we show that a Cullin 3 (CUL3)-based ubiquitin ligase, Kelch-like ECH-associated protein 1 (KEAP1), is responsible for IKKbeta ubiquitination.	1.0			5.0					result & discuss	1.0
19818716	9817	C564433	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	K48-linked polyubiquitination	1	0	1.0	6			1.0	Dk	Cn		KEAP1 did not utilize the ubiquitin K48R mutant to induce IKKbeta ubiquitination (Figure 3A), which suggests that the polyubiquitin chains attached to IKKbeta is K48-linked polyubiquitination.				1.0						
19818716	9817	D001943	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	breast cancer | breast cancers | breast tumor	1	1	1.0	10			1.0				showed that KEAP1 expression in breast cancer patients with a relapse-free survival duration of at least 5 years was higher than that in patients with a relapse-free survival of less than 5 years				1.0						
19818716	9817	D004938	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	esophageal cancer	1	1	1.0	7			0.0														
19818716	9817	D005706	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	gallbladder cancer	1	1	1.0	4			1.0				KEAP1 somatic mutations were detected in both lung cancer and gallbladder cancer. 		1.0								
19818716	9817	D006528	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	liver cancer | liver cancers	1	1	1.0	8			1.0				Similarly, regular copy-number loss of the KEAP1 (0.85 for rs426612 and 0.90 for rs139480 in 9 liver cancer cell lines; Figure S11A) and CUL3 (0.71 for rs2216460 and 0.80 for rs1368884 in 28 esophageal cancer cell lines; Figure S11B) loci occurred.				1.0						
19818716	9817	D007249	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	inflammation | inflammation-associated cancers	1	1	1.0	7			1.0		L		Thus, our results suggest that inactivation of the KEAP1-CUL3-RBX1 complex in human cancers may prevent IKKbeta degradation and result in NF-kappaB activation and that induction of KEAP1 expression may have vital clinical implications for the treatment or prevention of inflammation-associated cancers.		1.0								
19818716	9817	D008175	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	lung cancer	1	1	1.0	6			1.0				Moreover, loss of heterozygosity of KEAP1 genome regions were frequently found in both lung cancer cell lines and lung cancer tissues.		1.0								
19818716	9817	D009422	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	impairment of IKKbeta degradation	1	1	1.0	6			1.0	Di			results in an incomplete KEAP1-CUL3-RBX1 ubiquitin proteasome complex and may culminate in NF-kappaB activation through impairment of IKKbeta degradation.				1.0						
19818716	9817	D042822	KEAP1 | Kelch-like ECH-associated protein 1 | Keap1	genome loss	1	1	1.0	4			0.0	Dk													
19830172	3479	D006130	IGF-I	growth retardation | short stature	1	0	1.0	3	2.0	1.0	1.0		nC		However, the severity of growth retardation and the full investigation of GH-IGF-I axis make our case unique.					1.0					1.0
