PMCID,PMID
PMC5717832,29207974
PMC5719030,29213072
PMC5729185,29270009
PMC5740388,29061741
PMC5778460,29220521
PMC5779141,25430415
PMC5789435,29155908
PMC5820244,28291107
PMC5827768,29464990
PMC5842949,29527287
PMC5845890,29563864
PMC5850690,29563667
PMC5852109,29568308
PMC5857496,29581609
PMC5865979,29393430
PMC5866496,29662784
PMC5875862,29596489
PMC5879897,29557375
PMC5884161,29755715
PMC5901748,28612977
PMC5906192,29493223
PMC5926513,29849496
PMC5928520,24186967
PMC5963141,29783984
PMC5968162,29805234
PMC5972793,28837387
PMC5977431,29809055
PMC5986636,29876020
PMC5987387,29992029
PMC6002489,29938207
PMC6010685,29937924
PMC6023935,29955035
PMC6030182,29968748
PMC6030891,29796670
PMC6034806,29979707
PMC6062536,30050153
PMC6074528,18398271
PMC6086080,30123704
PMC6086492,30024510
PMC6093708,30028291
PMC6137404,30428326
PMC6143937,30062756
PMC6155010,30242205
PMC6160911,30200437
PMC6163687,30223531
PMC6167596,30319825
PMC6173987,30017315
PMC6186797,30349541
PMC6187349,30424177
PMC6189789,30338303
PMC6195479,30321699
PMC6200642,30266767
PMC6207039,30483580
PMC6208256,30459884
PMC6224400,29740160
PMC6237025,30428895
PMC6257246,30542420
PMC6257856,30365064
PMC6259360,30027791
PMC6263212,30515021
PMC6279492,30282812
PMC6288018,30549473
PMC6311313,30643658
PMC6318899,30606164
PMC6333425,30261172
PMC6337709,30602709
PMC6338720,30362061
PMC6340886,30675527
PMC6357070,30621047
PMC6367965,30709862
PMC6371581,30744561
PMC6374164,30706071
PMC6384260,30828298
PMC6384923,30682788
PMC6388396,29551768
PMC6389800,30847285
PMC6394653,30542778
PMC6401624,30873191
PMC6404439,30571509
PMC6409866,30717218
PMC6418038,30906313
PMC6428729,30930839
PMC6435570,30949053
PMC6442995,30956762
PMC6453153,31008371
PMC6457668,30476719
PMC6458710,30971222
PMC6461406,30767970
PMC6466773,30987660
PMC6471408,30884810
PMC6472429,31000713
PMC6479004,31015328
PMC6486944,30796730
PMC6489179,31035950
PMC6514008,31086197
PMC6522237,31143309
PMC6528041,31114454
PMC6540391,31138275
PMC6547518,31159885
PMC6553621,31321292
PMC6563625,31205387
PMC6585145,31221168
PMC6589043,31203250
PMC6603414,31293647
PMC6611223,31274189
PMC6628111,31242553
PMC6647146,31331342
PMC6652468,31379913
PMC6669476,31269758
PMC6693770,31412075
PMC6714012,31441935
PMC6723922,31370350
PMC6724002,31430968
PMC6745457,30468149
PMC6747389,31480304
PMC6754420,31541124
PMC6756890,31503006
PMC6761750,31572833
PMC6771309,31513673
PMC6786219,31546546
PMC6789011,31605025
PMC6790594,31291028
PMC6797711,31624253
PMC6802735,31324753
PMC6824563,31675356
PMC6832419,31554345
PMC6868704,31832083
PMC6877405,31777423
PMC6880644,31747387
PMC6910780,31850125
PMC6921122,31890124
PMC6929253,31890722
PMC6959294,31852336
PMC6968980,31673964
PMC6983294,26316238
PMC6986889,31039423
PMC7028266,32069313
PMC7028830,31797087
PMC7031755,32148415
PMC7036182,32087689
PMC7037927,32033167
PMC7044485,32148991
PMC7057491,32131898
PMC7072971,32085487
PMC7073456,32211513
PMC7081315,32193512
PMC7087062,32226348
PMC7091449,32034638
PMC7096066,32226695
PMC7102548,32205232
PMC7102640,32171866
PMC7104711,32231330
PMC7110591,32097725
PMC7118634,32234467
PMC7126290,29751212
PMC7127628,16781449
PMC7128661,32279908
PMC7135676,32269762
PMC7136878,32317153
PMC7137215,32264889
PMC7137402,32264922
PMC7142878,32354637
PMC7142913,32106509
PMC7151311,32292206
PMC7151347,32291137
PMC7154016,31177305
PMC7156211,32205092
PMC7156246,32302675
PMC7156431,32203104
PMC7157814,32198163
PMC7158880,32310621
PMC7160640,32305384
PMC7165103,32311498
PMC7166201,32313880
PMC7167559,32327200
PMC7169930,32325098
PMC7171052,32318325
PMC7174975,32333991
PMC7175896,32339777
PMC7179937,32321856
PMC7180223,32362813
PMC7181704,32332878
PMC7182754,32361528
PMC7183954,32362344
PMC7184165,32341442
PMC7184445,32186711
PMC7187518,32345230
PMC7189410,32306854
PMC7192059,32356047
PMC7194656,32335068
PMC7195078,32335366
PMC7200870,32233935
PMC7212537,32367749
PMC7228336,32242950
PMC7230814,32244779
PMC7232886,32364011
PMC7247150,32353978
PMC7248545,32352656
PMC7256127,32359080
PMC7256353,32367767
PMC7262119,32293716
PMC7262341,32281668
PMC7264870,32333644
PMC7267149,32346988
PMC7277236,32354045
PMC7295272,32316063
